Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/Networking-SP/SelfPaced,12d4aa9384ba6abee82c6d402ad37e0bbaafc91e,12,2016
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,1,10238
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,2,16098
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,3,14946
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,4,15118
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,5,18694
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,6,17635
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,7,13726
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,8,18713
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,9,10330
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,10,6166
OpenEdX,Engineering/Networking-SP/SelfPaced,3fce6a9862949570f79ea93a2b7cbec599bc4c3a,11,1
OpenEdX,Engineering/Networking-SP/SelfPaced,aa2055cc7c62190fda222c98a59ae4dac2a324a6,10,20
OpenEdX,Engineering/Networking-SP/SelfPaced,83f935dea58348ee7db92e8f0cb412200753c0e0,22,1223
OpenEdX,Engineering/Networking-SP/SelfPaced,a484375dbe585db51d97a0fbd7bbeae9ec6dfbe2,7,759
OpenEdX,Engineering/Networking-SP/SelfPaced,7bb2a736317544ad5fc34d5042d00a41a468e030,1,1
OpenEdX,Engineering/Networking-SP/SelfPaced,056ef6abeb0a9f0dc9d8e2c9ab716336cb93f9f7,2,18
OpenEdX,Engineering/Networking-SP/SelfPaced,607ad3fb3f62317ad3a439a24b6a0a4c4f1a685c,13,3477
OpenEdX,Engineering/Networking-SP/SelfPaced,7997014fd17f439192ef3c686b48054343f8cfc6,6,1859
OpenEdX,Engineering/Networking-SP/SelfPaced,7997014fd17f439192ef3c686b48054343f8cfc6,7,675
OpenEdX,Engineering/Networking-SP/SelfPaced,7997014fd17f439192ef3c686b48054343f8cfc6,8,49282
OpenEdX,Engineering/Networking-SP/SelfPaced,7997014fd17f439192ef3c686b48054343f8cfc6,9,1
OpenEdX,Engineering/Networking-SP/SelfPaced,7997014fd17f439192ef3c686b48054343f8cfc6,10,4603
OpenEdX,Engineering/Networking-SP/SelfPaced,7997014fd17f439192ef3c686b48054343f8cfc6,11,2782
